PLAYER,AGE,TM,MAIN POS,OTHER POS,W,L,IP,HA,BB,K,ER,SV,ERA,WHIP,K/9,QS,GS,G,HRA,WERTH Roto Value,Pos-Adjusted WERTH Value,ADP
Andres Munoz,27,SEA,RP,,3.817795989,2.314027676,63,45.99242924,24.58340301,78.0958597,19.4278214,32.4289,2.775403057,1.120251305,11.15655139,0,0,63,5.119727588,0.355213025,3.912927555,53
Drew Rasmussen,30,TB,SP,,9.287456577,8.980017092,152,137.8915198,39.51803366,133.5051447,61.7117983,0,3.653988057,1.167168115,7.904909886,13,30.056,30,17.53896366,0.253765989,2.644525984,164
Emmet Sheehan,26,LAD,SP,,9.303979782,6.678979468,125,102.1023145,41.98791982,149.7963783,51.43207903,0,3.70310969,1.152721874,10.78533924,12,21.96,33,18.0869586,0.216395706,2.607155701,145
Blake Snell,33,LAD,SP,,9.613069626,5.551979528,126,99.33592044,53.70637108,156.5975254,49.14069565,0,3.510049689,1.214621361,11.18553753,12,23.16,21,14.51464774,0.206551331,2.597311325,82
Devin Williams,31,NYM,RP,,4.411859779,2.28946493,62,45.2959112,25.52882958,84.38039935,20.47615462,30.9959,2.972345026,1.142334529,12.24876765,0,0,64,5.633000309,0.116307336,3.674021866,89
Kevin Gausman,35,TOR,SP,,11.14226475,9.774664852,176,161.5108942,51.08554447,172.465312,78.264341,0,4.002153801,1.207934311,8.819248911,16,30.056,30,24.18547284,0.097248809,2.488008803,103
Spencer Strider,27,ATL,SP,,9.796006586,9.017688699,154,132.2957434,53.51495037,181.6258144,66.89873114,0,3.909666106,1.206562946,10.61449565,14,26.708,26,20.35937133,0.073452299,2.464212293,103
Tanner Bibee,26,CLE,SP,,10.28581056,10.36089231,175,159.7890104,51.4858442,161.2011917,75.78369895,0,3.897447374,1.207284883,8.290346999,16,30.056,30,23.72398328,-0.028270876,2.362489118,178
Kyle Bradish,29,BAL,SP,,8.413303446,6.056851833,127,110.2283238,39.67717741,146.2503466,50.52453948,0,3.580479176,1.180358277,10.36419779,12,24.184,21,14.85349764,-0.127817497,2.262942497,79
Tyler Glasnow,32,LAD,SP,,8.89900344,5.572402767,124,100.788207,45.86579545,146.9862886,50.02084492,0,3.630545196,1.182693568,10.66835966,12,22.86,22,15.33776811,-0.167421031,2.223338963,107
Aroldis Chapman,37,BOS,RP,,3.894589285,2.327227541,58,41.34424662,25.629666,80.75739589,19.3367798,32.4078,3.000534797,1.154722631,12.53132005,0,0,61,5.29716013,-0.225812614,3.331901916,80
Shane McClanahan,28,TB,SP,,7.90009385,6.846632647,130,111.6045745,37.87140945,133.3198565,52.66207325,0,3.64583584,1.149815261,9.229836218,12,22.86,22,15.81728844,-0.298110554,2.092649441,229
David Bednar,31,NYY,RP,,4.02145181,2.277528705,63,49.52916018,21.01424566,73.36809766,22.60117551,31.9818,3.228739359,1.119736601,10.48115681,0,0,64,6.999692263,-0.307590063,3.250124467,83
Josh Hader,31,HOU,RP,,3.808685672,2.043155733,59,41.32776402,21.94345821,76.67842249,20.58552157,29.0755,3.140164307,1.072393597,11.69670851,0,0,57,7.637274353,-0.310689982,3.247024548,87
Shohei Ohtani,31,LAD,SP,DH,8.246293759,4.462349741,105,81.82785139,33.36252549,132.7891834,38.63507315,0,3.311577698,1.097051208,11.38193,10,20.836,20,12.84489613,-0.319693911,2.300922869,2
MacKenzie Gore,27,TEX,SP,,9.668817707,9.361200237,159,137.0906949,59.77628201,176.0144134,67.89326319,0,3.843014897,1.238157087,9.963080005,14,29.032,29,20.12457631,-0.326797571,2.063962423,150
Matthew Boyd,35,CHC,SP,,9.980193601,8.554884427,160,146.1619514,45.28682522,145.0728642,70.03155374,0,3.939274898,1.196554854,8.160348613,14,28.132,28,21.84908846,-0.550457285,1.840302709,195
Eury Perez,22,MIA,SP,,8.158557929,8.505185564,131,109.7358058,43.37870815,149.8092575,55.56916725,0,3.817729048,1.168813083,10.29223906,10,27.308,26,18.61215343,-0.552222101,1.838537893,99
Chase Burns,23,CIN,RP,SP,6.983845762,7.397884572,112,94.52571087,34.0441445,142.1044273,44.65070745,0,3.588003277,1.147945137,11.41910577,10,21.012,26,15.19023388,-0.569565506,2.988149024,115
Aaron Nola,32,PHI,SP,,10.24010492,9.438183165,166,155.0188747,43.84959047,164.8622233,75.88070828,0,4.114014304,1.198002802,8.938313312,14,28.856,27,24.4756406,-0.617122625,1.773637369,197
Trey Yesavage,22,TOR,SP,,8.052437093,8.378117237,126,101.728957,48.8332938,149.1795898,51.54590488,0,3.681850349,1.194938498,10.65568499,11,23.536,33,15.63898389,-0.636052968,1.754707026,127
Michael King,30,SD,SP,,8.943571242,7.854073879,148,129.9633789,51.52884495,156.7219199,62.55181092,0,3.80382634,1.226298809,9.530387019,13,26.932,25,19.20467924,-0.735737482,1.655022512,137
Jack Flaherty,30,DET,SP,,9.77979165,9.516483617,154,137.5562793,53.88067052,172.3787739,67.39672359,0,3.938769561,1.243097077,10.07408419,13,28.132,29,20.72367478,-0.775821107,1.614938887,195
Carlos Rodon,33,NYY,SP,,10.10487022,8.332433849,146,123.8136187,53.36204278,151.0664467,64.16112222,0,3.955137671,1.213531928,9.31231521,13,26.708,28,20.73517008,-0.782442295,1.608317699,187
Hunter Greene,26,CIN,SP,,7.280531749,6.079260896,105,86.02047165,34.37074343,145.5016467,44.10635827,0,3.780544995,1.146583001,12.47156972,10,17.616,18,15.82550814,-0.943184133,1.447575861,45
Shota Imanaga,32,CHC,SP,,9.024444362,8.647871554,148,137.2085705,33.17942249,141.5814671,68.18003303,0,4.14608309,1.151270223,8.609683808,13,25.684,26,25.82107371,-0.982237239,1.408522755,173
Gerrit Cole,35,NYY,SP,,8.071492999,5.95961796,127,109.5173407,36.55869384,120.0576392,53.66016869,0,3.80268912,1.150204996,8.508021675,12,21.736,21,18.2194662,-0.99841657,1.392343424,193
Ryan Pepiot,28,TB,SP,,9.551508485,10.47770098,162,140.6090502,57.63552105,166.3089471,72.9176568,0,4.050980933,1.223731921,9.239385953,14,29.756,30,23.84685135,-1.015932844,1.374827151,142
Nick Lodolo,28,CIN,SP,,8.696013816,9.119007502,147,135.4047497,39.53730901,149.2889689,65.46005107,0,4.007758229,1.190082032,9.140140953,12,27.008,28,20.89052268,-1.070639107,1.320120888,135
Griffin Jax,31,TB,RP,,3.99918919,2.793432901,67,53.18397446,19.19110889,81.21762313,21.75479768,12.3831,2.922286255,1.080225125,10.90982997,0,0.3,69,6.226710961,-1.172415425,2.385299105,261
Nolan McLean,24,NYM,SP,,9.814136387,7.427381468,146,130.196189,53.1973117,143.4354977,61.59742619,0,3.797101614,1.256119867,8.84191424,13,25.984,24,15.63770733,-1.17504122,1.215718774,101
Jacob Misiorowski,23,MIL,SP,,8.358755937,8.057972311,130,103.6889425,57.38390658,152.9018594,55.20962782,0,3.822205003,1.239021916,10.58551334,12,23.76,28,16.62362857,-1.346800787,1.043959208,113
Edward Cabrera,27,CHC,SP,,8.531288145,7.805048832,135,113.8895369,53.05180472,142.8502743,57.40564981,0,3.827043321,1.23660253,9.523351617,12,25.684,26,15.80199443,-1.460924805,0.929835189,196
Jeff Hoffman,33,TOR,RP,,3.937842862,2.665338171,63,50.77546554,22.98798883,73.82463884,25.15764213,27.7084,3.593948876,1.170848482,10.54637698,0,0,64,7.855697733,-1.510951317,2.046763213,133
Joe Musgrove,33,SD,SP,,7.823270351,7.601733217,134,123.6887068,34.92753095,126.8651095,58.33559227,0,3.918062168,1.183703267,8.520790934,12,24.308,23,18.19086986,-1.582316593,0.808443402,235
Daniel Palencia,26,CHC,RP,,3.754267255,2.884305402,64,52.5064533,25.40799846,73.99920281,24.80508033,28.5385,3.488214421,1.217413309,10.4061379,0,0.9,60,6.84636459,-1.623781011,1.933933519,144
Raisel Iglesias,36,ATL,RP,,3.59900273,2.515201939,63,55.52924011,16.79991443,68.00601398,25.72051259,28.2565,3.674358942,1.148081818,9.715144854,0,0,65,8.178261264,-1.652547187,1.905167343,106
Grant Taylor,23,CHW,RP,,4.382149158,3.31020148,80,64.09047262,27.8212824,99.81487597,27.80426855,5.3855,3.127980212,1.148896938,11.22917355,0,4.548,63,7.26251799,-1.664679533,1.893034997,374
Abner Uribe,25,MIL,RP,,3.85357839,2.433141332,70,53.37358128,30.54556815,78.91080007,23.35497644,16.7483,3.002782685,1.198844992,10.14567429,0,0,71,5.300411864,-1.672621113,1.885093417,198
Sean Manaea,34,NYM,SP,,7.911296508,7.914161139,124,109.0993889,38.21251533,135.0789528,54.93605509,0,3.987294321,1.187999228,9.80411754,12,20.112,33,17.57621206,-1.701188496,0.689571498,319
Ryan Helsley,31,BAL,RP,,3.712718638,2.550332183,62,51.47596518,22.80489935,68.09050775,23.90813266,26.9266,3.470535386,1.19807846,9.884105964,0,0,61,7.052920146,-1.803284207,1.754430323,120
Spencer Schwellenbach,25,ATL,SP,,5.941343395,5.027132017,98,87.8316956,20.68442309,81.04656011,38.02875674,0,3.492436843,1.107307334,7.443051439,10,16.416,17,11.29310041,-1.896052373,0.494707621,138
Kris Bubic,28,KC,SP,,8.844250617,7.789563142,133,124.0543388,43.36508689,133.8068103,56.87145859,0,3.848444566,1.258792675,9.054596188,13,22.56,29,14.97729796,-1.91925741,0.471502584,192
